error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle4,Guideline4.1,4.1.2,H91,InputText,Name,"""This textinput element does not have a name available to an accessibility API. Valid names are: label element", title undefined,NovaColuna_WCAG2AA_Guideline4.1
error,WCAG2AA,Principle1,Guideline1.3,1.3.1,F68,"""This form field should be labelled in some way. Use the label element (either with a \""for\"" attribute or wrapped around the form field)"," or \""title\""",NovaColuna_WCAG2AA_Guideline1.3
error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle2,Guideline2.4,2.4.2,H25,1,NoTitleEl,"""A title should be provided for the document"," using a non-empty title element in the head section.""",NovaColuna_WCAG2AA_Guideline2.4
error,WCAG2AA,Principle1,Guideline1.4,1.4.3,G18,Fail,"""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1"," but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.""",NovaColuna_WCAG2AA_Guideline1.4
error,WCAG2AA,Principle2,Guideline2.4,2.4.1,H64,1,"""Iframe element requires a non-empty title attribute that identifies the frame.""","""<iframe src=\""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.497609398409!2d-48.458639825915505!3d-1.4742696985118746!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x92a48dbe8d60aec1%3A0xfcadc7d40fe3a62d!2sHIT%20-%20Human%20Interaction...""",NovaColuna_WCAG2AA_Guideline2.4
